星球大战7：原力觉醒 Star Wars: The Force Awakens,7.1,J·J·艾布拉姆斯,黛西·雷德利 / 约翰·博耶加 / 哈里森·福特,动作 / 科幻 / 冒险,美国,2015,82551,2016年1月9日,进口分账
唐人街探案,7.5,陈思诚,王宝强 / 刘昊然 / 佟丽娅,喜剧 / 动作 / 悬疑,中国大陆,2015,82221,2015年12月31日（18点起）,国产
从你的全世界路过,5.3,张一白,邓超 / 白百何 / 杨洋,喜剧 / 爱情,中国大陆,2016,81258,2016年9月29日,国产
X战警：天启 X-Men: Apocalypse,7.7,布莱恩·辛格,詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德 / 詹妮弗·劳伦斯,动作 / 科幻 / 奇幻 / 冒险,美国,2016,80268,2016年6月3日,进口分账
北京遇上西雅图之不二情书,6.5,薛晓路,汤唯 / 吴秀波 / 惠英红,喜剧 / 爱情,中国大陆/香港,2016,78578,2016年4月29日12点起,国产
蜘蛛侠：英雄归来 Spider-Man: Homecoming,7.4,乔·沃茨,汤姆·赫兰德 / 小罗伯特·唐尼 / 玛丽莎·托梅,动作 / 科幻 / 冒险,美国,2017,77475,2017年09月08日,进口分账
叶问3,6.3,叶伟信,甄子丹 / 迈克·泰森 / 张晋,剧情 / 传记 / 动作 / 历史,中国大陆/香港,2015,77117,2016年3月4日,国产
霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,8.2,彼得·杰克逊,马丁·弗瑞曼 / 伊恩·麦克莱恩 / 理查德·阿米蒂奇,动作 / 奇幻 / 冒险,美国/新西兰,2014,76681,2015年1月23日,进口特种
大闹天竺,3.8,王宝强,王宝强 / 白客 / 岳云鹏,喜剧 / 动作 / 冒险,中国大陆,2017,75793,2017年1月28日,国产
钢铁侠3 Iron Man 3,7.6,沙恩·布莱克,小罗伯特·唐尼 / 盖·皮尔斯 / 格温妮斯·帕特洛,动作 / 科幻,美国/中国大陆,2013,75540,2013年5月1日,进口
星际穿越 Interstellar,9.2,克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦,剧情 / 科幻 / 冒险,美国/英国/加拿大/冰岛,2014,75512,2014年11月12日,进口分账
无问西东,7.7,李芳芳,章子怡 / 黄晓明 / 张震,剧情 / 爱情 / 战争,中国大陆,2018,75390,2018年1月12日,国产
